,strategy,test_len,model,metric,imp
10,target_class_lags_all_attributes,260,LogReg,precision,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
11,target_class_lags_all_attributes,260,RandomForest,precision,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
12,target_class_lags_all_attributes,260,SVC,precision,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
13,target_class_lags_all_attributes,260,KNN,precision,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
14,target_class_lags_all_attributes,260,GNB,precision,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
15,target_class_lags_all_attributes,260,LogReg,recall,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
16,target_class_lags_all_attributes,260,RandomForest,recall,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
17,target_class_lags_all_attributes,260,SVC,recall,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
18,target_class_lags_all_attributes,260,KNN,recall,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
19,target_class_lags_all_attributes,260,GNB,recall,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
